ticker,name,exchange,commodity,current_price,day_change_percent,market_cap,currency,last_updated
STGO,Steppe Gold Ltd.,TSX,Gold,2.009999990463257,-1.47,508182643.45885205,CAD,2026-01-15T06:45:39.457568
SBI,Serabi Gold plc,TSX,Gold,6.420000076293945,0.16,486215823.1980877,CAD,2026-01-15T06:45:40.124310
VOXR,Vox Royalty Corp.,TSX,Gold,7.0,2.94,477882468.0,CAD,2026-01-15T06:45:40.799966
LGD,Liberty Gold Corp.,TSX,Gold,0.8999999761581421,2.27,460170267.70965064,CAD,2026-01-15T06:45:41.491772
GOLD,GoldMining Inc.,TSX,Gold,2.140000104904175,1.9,448927045.6266911,CAD,2026-01-15T06:45:42.115123
PTM,Platinum Group Metals Ltd.,TSX,PGM,3.8399999141693115,-0.26,448293470.93985987,CAD,2026-01-15T06:45:42.661568
TI,Titan Mining Corporation,TSX,Diversified,4.389999866485596,7.6,402196150.58788586,CAD,2026-01-15T06:45:43.259501
VGZ,Vista Gold Corp.,TSX,Gold,3.0199999809265137,2.37,381151503.7527523,CAD,2026-01-15T06:45:43.894336
TRX,TRX Gold Corporation,TSX,Gold,1.309999942779541,-0.76,375913175.43020964,CAD,2026-01-15T06:45:44.501605
BSX,Belo Sun Mining Corp.,TSX,Gold,0.7200000286102295,-1.37,338964522.2692394,CAD,2026-01-15T06:45:45.145097
TSK,Talisker Resources Ltd.,TSX,Gold,1.899999976158142,1.6,337459235.1654446,CAD,2026-01-15T06:45:45.815217
ELO,Eloro Resources Ltd.,TSX,Gold,2.9700000286102295,-3.26,320290264.91537976,CAD,2026-01-15T06:45:46.474248
GLO,Global Atomic Corporation,TSX,Uranium,0.7799999713897705,2.63,318083850.2727535,CAD,2026-01-15T06:45:47.200436
DNG,Dynacor Group Inc.,TSX,Copper,6.239999771118164,-3.26,261479527.68898773,CAD,2026-01-15T06:45:47.852888
ORV,Orvana Minerals Corp.,TSX,Gold,1.899999976158142,1.6,259584021.64264977,CAD,2026-01-15T06:45:48.549382
STLR,STLLR Gold Inc.,TSX,Gold,1.6100000143051147,1.26,243429556.57291162,CAD,2026-01-15T06:45:49.144152
OCG,Outcrop Silver & Gold Corporation,TSX,Gold,0.5199999809265137,-3.7,243233324.2782545,CAD,2026-01-15T06:45:49.816755
LN,Loncor Gold Inc.,TSX,Gold,1.340000033378601,-0.74,243192915.69779038,CAD,2026-01-15T06:45:50.516927
MGA,Mega Uranium Ltd.,TSX,Uranium,0.6399999856948853,6.67,241704401.6374855,CAD,2026-01-15T06:45:51.129338
LAM,Laramide Resources Ltd.,TSX,Uranium,0.6700000166893005,1.52,190025645.93342543,CAD,2026-01-15T06:45:51.876975
GENM,Generation Mining Limited,TSX,Copper,0.699999988079071,2.94,189712972.66920727,CAD,2026-01-15T06:45:52.548070
NCF,Northcliff Resources Ltd.,TSX,"Molybdenum, Tungsten",0.30000001192092896,-7.69,188327605.7834664,CAD,2026-01-15T06:45:53.232504
GCU,Gunnison Copper Corp.,TSX,Copper,0.47999998927116394,2.13,187647638.04574835,CAD,2026-01-15T06:45:53.816384
FURY,Fury Gold Mines Limited,TSX,Gold,0.9900000095367432,23.75,187251867.81381106,CAD,2026-01-15T06:45:54.397032
ESM,Euro Sun Mining Inc.,TSX,Gold,0.375,1.35,158592028.875,CAD,2026-01-15T06:45:54.970905
LGO,Largo Inc.,TSX,Diversified,1.8700000047683716,10.0,156470202.74898827,CAD,2026-01-15T06:45:56.089851
XTG,Xtra-Gold Resources Corp.,TSX,Gold,3.1500000953674316,4.3,147272323.0087247,CAD,2026-01-15T06:45:56.695367
S,Sherritt International Corporation,TSX,Nickel,0.2800000011920929,1.82,138960830.9916222,CAD,2026-01-15T06:45:57.832052
GMX,Globex Mining Enterprises Inc.,TSX,Gold,2.4600000381469727,4.24,138614694.7094841,CAD,2026-01-15T06:45:57.264452
ATCU,Alta Copper Corp.,TSX,Copper,1.3799999952316284,-0.72,130012733.43076158,CAD,2026-01-15T06:45:58.418258
WM,Wallbridge Mining Company Limited,TSX,Gold,0.10000000149011612,0.0,122008189.71806368,CAD,2026-01-15T06:45:59.121730
AMC,Arizona Metals Corp.,TSX,Gold,0.7900000214576721,1.28,108787862.24485344,CAD,2026-01-15T06:45:59.869218
FSY,Forsys Metals Corp.,TSX,Uranium,0.4399999976158142,3.53,107679204.89652902,CAD,2026-01-15T06:46:00.611148
ELR,Eastern Platinum Limited,TSX,PGM,0.47999998927116394,-2.04,97675882.29677385,CAD,2026-01-15T06:46:01.288655
CCM,Canagold Resources Ltd.,TSX,Gold,0.5,-1.96,96982849.5,CAD,2026-01-15T06:46:02.036284
SAM,Starcore International Mines Ltd.,TSX,Gold,1.059999942779541,0.0,95255323.93796825,CAD,2026-01-15T06:46:02.713672
NPK,Verde Agritech Ltd,TSX,Potash,1.75,9.37,92172018.75,CAD,2026-01-15T06:46:03.418406
LUC,Lucara Diamond Corp.,TSX,Diamonds,0.20000000298023224,0.0,91165663.95847423,CAD,2026-01-15T06:46:04.041458
NEXT,NextSource Materials Inc.,TSX,Diversified,0.47999998927116394,6.67,88757329.37611905,CAD,2026-01-15T06:46:04.633617
SLR,Solitario Resources Corp.,TSX,Silver,0.9599999785423279,0.0,87265269.0894692,CAD,2026-01-15T06:46:05.213055
COPR,Coppernico Metals Inc.,TSX,Gold,0.38499999046325684,-1.28,68262365.1740892,CAD,2026-01-15T06:46:05.779966
AVL,Avalon Advanced Materials Inc.,TSX,Lithium,0.07999999821186066,6.67,66771102.18754953,CAD,2026-01-15T06:46:07.067877
FT,Fortune Minerals Limited,TSX,Diversified,0.10999999940395355,-2.22,64344702.60134153,CAD,2026-01-15T06:46:06.451680
RTG,RTG Mining Inc.,TSX,Gold,0.029999999329447746,-14.29,57351161.04810163,CAD,2026-01-15T06:46:07.671032
NVO,Novo Resources Corp.,TSX,Gold,0.14000000059604645,-3.45,49648239.27137612,CAD,2026-01-15T06:46:08.261497
BKI,Black Iron Inc.,TSX,Iron,0.11999999731779099,0.0,36747202.09863601,CAD,2026-01-15T06:46:08.831217
MSV,Minco Silver Corporation,TSX,Silver,0.5600000023841858,5.66,34510047.18692565,CAD,2026-01-15T06:46:09.414413
YRB,Yorbeau Resources Inc.,TSX,Gold,0.07000000029802322,7.69,32311183.517564043,CAD,2026-01-15T06:46:10.953284
DIAM,Star Diamond Corporation,TSX,Diamonds,0.03999999910593033,0.0,30733406.313054822,CAD,2026-01-15T06:46:11.722528
GRC,Gold Springs Resource Corp.,TSX,Gold,0.07999999821186066,14.29,22641079.093932435,CAD,2026-01-15T06:46:12.513568
ELEF,Silver Elephant Mining Corp.,TSX,Gold,0.3199999928474426,3.23,16961160.260888517,CAD,2026-01-15T06:46:13.169496
WRX,Western Resources Corp.,TSX,"Lead, Potash",0.03999999910593033,0.0,16325522.755096123,CAD,2026-01-15T06:46:14.093685
SVB,"Silver Bull Resources, Inc.",TSX,Silver,0.3100000023841858,1.64,15642336.620303988,CAD,2026-01-15T06:46:14.862007
MPVD,Mountain Province Diamonds Inc.,TSX,Diamonds,0.07000000029802322,16.67,14865224.563288316,CAD,2026-01-15T06:46:15.610561
KRN,Karnalyte Resources Inc.,TSX,Potash,0.23000000417232513,-11.54,12255316.542318106,CAD,2026-01-15T06:46:16.352360
CNT,Century Global Commodities Corporation,TSX,Iron,0.05000000074505806,0.0,5910274.638069954,CAD,2026-01-15T06:46:18.579849
FMR,Future Mineral Resources Inc.,TSX,Gold,0.3400000035762787,-2.86,5673783.379679501,CAD,2026-01-15T06:46:16.985725
AUMN,Golden Minerals Company,TSX,Gold,0.3499999940395355,-2.78,5401193.258018225,CAD,2026-01-15T06:46:17.634121
SBR,Silver Bear Resources plc,TSX,Silver,0.05000000074505806,0.0,,CAD,2026-01-15T06:46:10.381455
